"City","latitude","longitude"
"Castlegar",49.316171,-117.663574
"Central Fraser Valley",49.05685465,-122.28463460198
"Central Okanagan",49.97414405,-119.666649523165
"Comox Valley",49.68527605,-125.007808778252
"Cranbrook",49.5107477,-115.7672772
"Duncan",48.7786872,-123.7080446
"Eastern Fraser Valley",NA,NA
"Fort St. John",56.2524039,-120.846943
"Kamloops",50.6758269,-120.339415
"Kitimat",54.0535577,-128.6540519
"Metro Vancouver - NE",NA,NA
"Metro Vancouver - NW",NA,NA
"Metro Vancouver - SE",NA,NA
"Metro Vancouver - SW",NA,NA
"Nanaimo",49.163877,-123.938122
"North Okanagan",50.70449715,-118.968434818369
"Prince George",53.9128645,-122.7453699
"Quesnel",52.9794279,-122.493627
"Smithers",54.7792074,-127.1760991
"South Okanagan",49.02738465,-119.619905651259
"Sparwood",49.7332695,-114.885847
"Squamish",49.6980743,-123.155861
"Terrace",54.5172715,-128.599548
"Victoria/Saanich",NA,NA
"WestShore",48.43994425,-123.474409672319
"Whistler",50.1171903,-122.9543022
"Williams Lake",52.1292657,-122.1397259
