"City","latitude","longitude"
"Barrie",44.3893208,-79.6901302
"Belleville",44.1633264,-77.3852556
"Brampton",43.685832,-79.7599366
"Brantford",43.1408157,-80.2631733
"Burlington",43.3248924,-79.7966835
"Chatham",42.4057219,-82.1853837
"Cornwall",45.0184417,-74.728703
"Dorset",45.2438734,-78.8939357
"Grand Bend",43.3126644,-81.7578162
"Guelph",43.5460516,-80.2493276
"Hamilton",43.2560802,-79.8728583
"Hamilton Downtown",NA,NA
"Hamilton Mountain",43.215845,-79.8622917803341
"Hamilton West",NA,NA
"Kingston",44.230687,-76.481323
"Kitchener",43.451291,-80.4927815
"London",42.9832406,-81.243372
"Milton",43.513671,-79.882817
"Mississauga",43.5896231,-79.6443879
"Newmarket",44.056258,-79.461708
"North Bay",46.3092115,-79.4607617
"Oakville",43.447436,-79.666672
"Oshawa",43.8975558,-78.8635324
"Ottawa",45.4208777,-75.6901106
"Parry Sound",45.3436067,-80.0337392
"Peterborough",44.3048009,-78.3199496
"Port Stanley",42.6660437,-81.2121712
"Sarnia",42.9743821,-82.403533
"Sault Ste. Marie",46.52391,-84.320068
"St. Catharines",43.1579812,-79.2441003
"Sudbury",46.49272,-80.991211
"Thunder Bay",48.406414,-89.259796
"Tiverton",44.3886196,-66.2138548
"Toronto",43.6534817,-79.3839347
"Toronto Downtown",NA,NA
"Toronto East",43.6853183,-79.2991681121078
"Toronto North",NA,NA
"Toronto West",43.66599845,-79.4580666659382
"Windsor",42.3167397,-83.0373389
"Windsor Downtown",NA,NA
"Windsor West",42.27968125,-83.033564506301
